"bin.taxa.name","bins","kingdom","phylum","class","order","family","genus","species","DCO_LLO_Bv4v5..QHF2_QH170212_2","DCO_LLO_Bv4v5..QHS2_QH170213_2","DCO_LLO_Bv4v5..BQS_BQ170220","DCO_LLO_Bv4v5..SIF_SI170217","DCO_LLO_Bv4v5..ESF9_ES_F9","DCO_LLO_Bv4v5..SIS_SI170217","DCO_LLO_Bv4v5..EPF_EP170215","DCO_LLO_Bv4v5..RSS_RS170216","DCO_LLO_Bv4v5..RSF_RS170216","DCO_LLO_Bv4v5..EPS_EP170215","DCO_LLO_Bv4v5..SLS_SL170214_S","DCO_LLO_Bv4v5..BRS1_BR170218_1","DCO_LLO_Bv4v5..BRS2_BR170218_2","DCO_LLO_Bv4v5..FAS_FA170219","DCO_LLO_Bv4v5..BRF1_BR170218_1","DCO_LLO_Bv4v5..BRF2_BR170218_2","DCO_LLO_Bv4v5..MTF_MT170219","DCO_LLO_Bv4v5..CYF_CY170214","DCO_LLO_Bv4v5..SLF_SL170214","DCO_LLO_Bv4v5..BQF_BQ170220","DCO_LLO_Bv4v5..QNF_QN170220","DCO_LLO_Bv4v5..QNS_QN170220","DCO_LLO_Bv4v5..CYS_CY170214","DCO_LLO_Bv4v5..ETS_ET170220","DCO_LLO_Bv4v5..RVF_RV170221","DCO_LLO_Bv4v5..TCF_TC170221","DCO_LLO_Bv4v5..TCS_TC170221_2","cluster"
"bin_9, Bacteria, Acidobacteriota, Blastocatellia, Pyrinomonadales","bin_9","Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","","","",0,0,0,0,0,0,0,0.033698764,0.055182916,0,1.551634454,0,0.038204305,3.620565951,0,0,1.763274623,0.09386445,0.415843961,0,0.103566539,0,135.9380123,0.122932727,0,0.076037503,0,2
"bin_200, Bacteria, UBP10, GR~WP33~30, UTPRO1","bin_200","Bacteria","UBP10","GR~WP33~30","UTPRO1","","","",0,0,0,0,0,0,0,0,0.040847379,0,2.794542262,0,0,39.08833059,0,0,0.142339535,1.179714341,2.847663893,0,0.067487481,0,11.03759381,0.067180099,0.118322773,3.159664743,0.770319044,2
"bin_158, Bacteria, Bacteroidota, UBA10030, UBA10030","bin_158","Bacteria","Bacteroidota","UBA10030","UBA10030","","","",0,0,0,0,0,0,0,0,0.033970107,0,0,0,10.3140377,0.055561089,0.038589906,1.627768505,0.102918648,0,0.059342638,0,0.035733281,0,0.101453706,0.074868677,0,0,0,2
"bin_240, Bacteria, Chloroflexota","bin_240","Bacteria","Chloroflexota","","","","","",0,0.120328418,0,0,0.055029526,0.03763746,0.191040244,0.14187478,0.212308747,0.245279559,3.42426726,0,0.484726544,195.0022006,0,0.098419818,0.109569496,0.032452658,0.845073892,0,0.055887291,0.030216021,0.059253155,0.420032058,0.112995161,0.664969556,0.912492532,2
"bin_402, Bacteria, Chloroflexota","bin_402","Bacteria","Chloroflexota","","","","","",0,0.136688561,0.040587525,0,0.034727376,0,0.228296891,0.124134212,0.198674125,0.251496207,0.039692848,0,43.54901018,0.447482309,0.075420052,6.053178347,0.044588412,0,0.052966941,0,0.076296892,0.039188951,0.053485332,0.392281287,0.037233892,0.398928043,2.679579697,2
"bin_116, Bacteria, WOR~3, WOR~3, UBA2258","bin_116","Bacteria","WOR~3","WOR~3","UBA2258","","","",0,0,0,0,0,0.053808392,0.034442699,0,0.114924834,0,32.05785031,0,0,0,0,0.035626759,0,0,0.345538703,0,0,0,0,0,0,0,0,2
"bin_356, Bacteria, Desulfobacterota, BSN033, BSN033, UBA1163, UBA1163","bin_356","Bacteria","Desulfobacterota","BSN033","BSN033","UBA1163","UBA1163","",0,0,0,0,0,0.096512625,0.082122138,0.045670064,0.166270886,0.070892227,1.012018212,0,10.91895115,12.60107101,0,1.738436627,0.418563589,0,0.07510556,0,0,0,0,0,0,0,0,2
"bin_254, Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, RBG~16~58~11, RBG~16~58~11","bin_254","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","RBG~16~58~11","RBG~16~58~11","",0,0.061812292,0,0.400466122,0.530903867,0.187471879,0.596400934,0.190155297,0.297834066,0.210784368,0.174330642,25.36645824,0.706342421,0.536885887,9.442164528,0.557971484,0.260111398,0.189301714,1.598582911,0,1.000691649,0.271830306,1.442612645,0.377063906,0.24976626,1.216782661,0.212956356,2
"bin_242, Bacteria, Desulfobacterota, BSN033, BSN033, UBA1163","bin_242","Bacteria","Desulfobacterota","BSN033","BSN033","UBA1163","","",0,0,0,0,0,0.035352454,0.04494202,0.032618405,0.126298507,0.030697341,49.18191788,0.043773974,0.461558728,4.513500925,0.04618237,0.337745527,0.773527966,0.032394309,4.318414085,0,0,0,0,0,0,0,0,2
"bin_130, Bacteria, Proteobacteria, Alphaproteobacteria, Geminicoccales, Geminicoccaceae","bin_130","Bacteria","Proteobacteria","Alphaproteobacteria","Geminicoccales","Geminicoccaceae","","",0.067462411,0.71667151,0.035135981,0.416708368,0.871564005,0.374930338,0.309922437,0.442968546,0.714261267,0.295550287,0.06240014,0.083396892,2.372379787,0.465045046,0.410587215,0.44079646,0.636541777,2.961744316,2.135230872,0,1.479053617,0.328069949,3.387051987,0.787268592,0.307045781,1.824250408,0.148617156,2
"bin_39, Bacteria, Chloroflexota, Anaerolineae, Anaerolineales, envOPS12, UBA12294","bin_39","Bacteria","Chloroflexota","Anaerolineae","Anaerolineales","envOPS12","UBA12294","",0,0.074932188,0.048541562,0.043380654,0.109677516,0.635001747,0.5603359,0.349584621,0.447297748,0.194263197,0.577831762,0.048723272,34.86194628,5.637303673,0.661637989,3.778276514,0.47597351,0.106162292,0.345444554,0,0.212172397,0.147798464,2.895037498,6.271015417,0.383399351,7.8903582,1.117779789,2
"bin_390, Bacteria, Chloroflexota, Anaerolineae, Anaerolineales, envOPS12","bin_390","Bacteria","Chloroflexota","Anaerolineae","Anaerolineales","envOPS12","","",0,0,0,0,0.038799368,0.086641328,0.1175342,0.123824958,0.19669309,0.077524917,0.072114804,0.035132014,28.07420579,3.597452175,0.044209443,3.356490196,0.092189591,0.07791504,0.220834503,0,0.109159849,0.088958646,0.207623649,0.562351054,0.14698178,0.349966813,0.271129107,2
"bin_165, Bacteria, Bacteroidota, Ignavibacteria, Ignavibacteriales, Ignavibacteriaceae, Ignavibacterium","bin_165","Bacteria","Bacteroidota","Ignavibacteria","Ignavibacteriales","Ignavibacteriaceae","Ignavibacterium","",3.153259032,27.48548262,0,0,0,0,0.041486229,0,0.051904859,0,0,0,0,0.059085181,0,0.057596418,0.180472612,0,0.069607488,0,0.041655871,0.063647686,0,0,0,0.077528746,0.047760728,2
