organism,16s,23s,5s,alanine,arginine,asparagine,asparticacid,cysteine,glutamicacid,glutamine,glycine,histidine,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine
bin_29,,,,2.0,,,,,,,,,,1.0,,,,1.0,1.0,,,,
bin_290,1.0,1.0,,2.0,5.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,5.0,2.0,3.0,1.0,3.0,2.0,3.0,1.0,1.0,3.0
bin_291,2.0,1.0,1.0,3.0,4.0,,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,,1.0,3.0,1.0,1.0,1.0,1.0,,3.0
bin_292,,,1.0,3.0,4.0,,1.0,1.0,2.0,1.0,2.0,,,4.0,1.0,2.0,,3.0,5.0,3.0,1.0,1.0,3.0
bin_293,,,,1.0,,,1.0,,,3.0,,,,2.0,,3.0,,2.0,3.0,2.0,,,2.0
bin_294,1.0,1.0,1.0,3.0,6.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,,5.0,2.0,3.0,1.0,3.0,4.0,3.0,1.0,1.0,3.0
bin_295,,,,3.0,3.0,,,1.0,,1.0,,1.0,,2.0,1.0,,1.0,2.0,4.0,2.0,,1.0,1.0
bin_296,1.0,1.0,,2.0,3.0,1.0,1.0,,2.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,,2.0,5.0,2.0,,,3.0
bin_297,,1.0,1.0,3.0,5.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,5.0,3.0,3.0,1.0,3.0,4.0,3.0,1.0,1.0,3.0
bin_298,1.0,1.0,1.0,3.0,5.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,5.0,2.0,3.0,1.0,3.0,4.0,3.0,1.0,1.0,4.0
bin_299,,,1.0,3.0,2.0,1.0,1.0,,1.0,1.0,1.0,,1.0,2.0,2.0,2.0,1.0,2.0,4.0,1.0,1.0,,1.0
bin_3,1.0,1.0,1.0,4.0,6.0,1.0,1.0,2.0,2.0,4.0,3.0,1.0,1.0,5.0,2.0,3.0,1.0,3.0,6.0,3.0,2.0,1.0,2.0
bin_30,1.0,,1.0,,1.0,2.0,,,1.0,,,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,1.0
bin_300,,,1.0,3.0,6.0,2.0,,1.0,4.0,2.0,1.0,1.0,1.0,4.0,2.0,3.0,1.0,3.0,5.0,2.0,1.0,,4.0
bin_301,,,,2.0,4.0,1.0,,1.0,1.0,1.0,2.0,,,4.0,2.0,3.0,1.0,3.0,4.0,2.0,1.0,,2.0
bin_302,1.0,1.0,2.0,1.0,2.0,,1.0,1.0,1.0,,1.0,1.0,,2.0,,1.0,,1.0,1.0,,,,1.0
