"bin.taxa.name","bins","kingdom","phylum","class","order","family","genus","species","DCO_LLO_Bv4v5..QHF2_QH170212_2","DCO_LLO_Bv4v5..QHS2_QH170213_2","DCO_LLO_Bv4v5..BQS_BQ170220","DCO_LLO_Bv4v5..SIF_SI170217","DCO_LLO_Bv4v5..ESF9_ES_F9","DCO_LLO_Bv4v5..SIS_SI170217","DCO_LLO_Bv4v5..EPF_EP170215","DCO_LLO_Bv4v5..RSS_RS170216","DCO_LLO_Bv4v5..RSF_RS170216","DCO_LLO_Bv4v5..EPS_EP170215","DCO_LLO_Bv4v5..SLS_SL170214_S","DCO_LLO_Bv4v5..BRS1_BR170218_1","DCO_LLO_Bv4v5..BRS2_BR170218_2","DCO_LLO_Bv4v5..FAS_FA170219","DCO_LLO_Bv4v5..BRF1_BR170218_1","DCO_LLO_Bv4v5..BRF2_BR170218_2","DCO_LLO_Bv4v5..MTF_MT170219","DCO_LLO_Bv4v5..CYF_CY170214","DCO_LLO_Bv4v5..SLF_SL170214","DCO_LLO_Bv4v5..BQF_BQ170220","DCO_LLO_Bv4v5..QNF_QN170220","DCO_LLO_Bv4v5..QNS_QN170220","DCO_LLO_Bv4v5..CYS_CY170214","DCO_LLO_Bv4v5..ETS_ET170220","DCO_LLO_Bv4v5..RVF_RV170221","DCO_LLO_Bv4v5..TCF_TC170221","DCO_LLO_Bv4v5..TCS_TC170221_2","cluster"
"bin_210, Bacteria, Patescibacteria, Microgenomatia, Roizmanbacterales, GWC2~37~13","bin_210","Bacteria","Patescibacteria","Microgenomatia","Roizmanbacterales","GWC2~37~13","","",0,0,0,0,0.08956838,0,0.030169378,0,0.031942948,0,2.926296485,0.371577901,0.438655987,1.649135859,0.444216957,0.808395679,2.827786796,107.5047767,12.696183,0,0,0,1.83588063,0.130563891,0.165519777,5.678621689,1.750212419,1
"bin_121, Archaea, Micrarchaeota, Micrarchaeia, UBA8480","bin_121","Archaea","Micrarchaeota","Micrarchaeia","UBA8480","","","",0,0,0,0,0,0,0.062423289,0,0.036195839,0,0.272276117,0.870817823,9.933524421,0.114626672,0.987090969,7.368590381,0.067021454,0,0.225791836,0,0.134908436,0,0.069574064,0,0.820717639,0.154417404,0,1
"bin_377, Bacteria, Bipolaricaulota, Bipolaricaulia, RBG~16~55~9","bin_377","Bacteria","Bipolaricaulota","Bipolaricaulia","RBG~16~55~9","","","",0,0,0,0,0,0,0,0,0,0,50.42672476,0.11525556,0,288.2020593,0.141078349,0.031179135,9.219482151,11.40147414,32.70657777,0,0,0,1.00002086,0,0.04065298,0.708930938,0.121823421,1
"bin_199, Bacteria, Patescibacteria, Microgenomatia, Roizmanbacterales, GWC2~37~13, GWC2~37~13","bin_199","Bacteria","Patescibacteria","Microgenomatia","Roizmanbacterales","GWC2~37~13","GWC2~37~13","",0,0,0,0.061945828,0.176110274,0,0.099932754,0.031104962,0.093102172,0.03374857,1.43605946,0.330585675,0.519280348,1.875286565,0.268954236,0.919854794,3.308057559,172.3532909,12.33713472,0,0.07732044,0,1.421303699,0.194362373,0.497792232,15.83046793,3.055761399,1
"bin_285, Bacteria, Spirochaetota, Leptospirae, Leptospirales, Leptonemataceae","bin_285","Bacteria","Spirochaetota","Leptospirae","Leptospirales","Leptonemataceae","","",0,0,0,0,0.085762236,0,0,0,0,0,0.657664192,1.305466201,0.186403259,0.954113196,3.160040391,0.303762605,2.58526738,48.47135233,4.302937939,0,0.047478835,0,0.9450427,0,0.065292887,2.364458346,2.130198785,1
"bin_103, Bacteria, Chloroflexota, Anaerolineae, Thermoflexales","bin_103","Bacteria","Chloroflexota","Anaerolineae","Thermoflexales","","","",0,0,0,0,0.047972951,0.090786527,0.065696554,0.097629901,0.246013527,0.070741835,27.0710461,0.180332722,0.454170003,4.451478486,0.132668568,0.190008507,7.709801564,2.463018703,54.50688531,0,0.099323227,0.036237417,0.430836634,0.149553853,0.055370707,1.064841965,0.397299761,1
"bin_342, Bacteria, Patescibacteria, Microgenomatia, Roizmanbacterales, GWC2~37~13","bin_342","Bacteria","Patescibacteria","Microgenomatia","Roizmanbacterales","GWC2~37~13","","",0,0,0,0.062830304,0.222008348,0,0.030488539,0,0.096469066,0,3.360575443,0.528228261,0.786016414,16.0760844,0.753518029,1.67349627,3.829607126,211.8389291,19.39095553,0,0.035643195,0,1.581032483,0.125915342,0.328766114,5.591631249,2.118481524,1
"bin_53, Bacteria, Patescibacteria, Paceibacteria","bin_53","Bacteria","Patescibacteria","Paceibacteria","","","","",0,0,0,0,0.03176286,0,0,0,0.038391604,0,0.502862786,4.722469931,8.392965892,6.774729164,1.429154647,2.879582675,0.407731915,0.084849093,0.30398089,0,0.034563253,0,0,0,0.574203956,0.083924501,0.487809137,1
"bin_249, Bacteria, Patescibacteria, Paceibacteria, UBA6257","bin_249","Bacteria","Patescibacteria","Paceibacteria","UBA6257","","","",0,0,0,0,0.050241391,0,0,0,0,0,1.476008716,7.685639387,14.44680374,7.029064328,8.985706873,3.871353785,18.3695005,14.61368171,7.836617908,0,0.031537467,0,0.55269695,0.033323745,0.119154851,5.785855389,0.819196386,1
"bin_125, Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, UBA12077","bin_125","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA12077","","",0.036146832,1.090521836,0.048515928,0.250515891,0.342716031,28.16232774,11.45807239,0.138542575,0.116344332,1.654570779,0,0,0,0,0,0,0,0,0,0,0.048756619,0,0.032251914,0,0,0.032835884,0.036212795,5
"bin_362, Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, CG2~30~32~10","bin_362","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","CG2~30~32~10","","",0,0,0,0.12816474,0.223617352,0.926823477,0.11450072,41.81194756,5.127672935,1.909721358,0,0,0,0,0,0,0,0,0.030362147,0,0.054153846,0,0.034769914,0,0,0,0,5
"bin_150, Bacteria, Chloroflexota, Anaerolineae, Anaerolineales, envOPS12","bin_150","Bacteria","Chloroflexota","Anaerolineae","Anaerolineales","envOPS12","","",0,0.03220573,0.08487749,0.10453271,0.829455607,3.332245389,7.988317947,0.876308747,2.81511864,34.25037319,0,0,0,0,0,0,0,0,0.06166573,0,0.047533244,0.040813893,0.095713483,0.088799205,0,0.059911961,0,5
"bin_66, Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Marinilabiliaceae","bin_66","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinilabiliaceae","","",0,0,0,0.190288138,0.296422105,0.040066963,0.653153293,48.29977722,3.686327402,6.359114715,0,0,0,0,0,0,0,0,0,0,0.04647879,0,0,0,0,0,0,5
