Reference Contig,TCS,TC,SLS,SL,SIS,SI,RVF,RSS,RS,QNS,QN,QHS2,QHS1,QH2,PLS,PGS,PG,PFS,PF,PBS,MTF,FAS,ETS,ESF9,EPS,EP,CYS,CY,BRS2,BRS1,BRF2,BRF1,BR1,BQS,BQ,BQF,ARS
BFJBJAKM_00385,0.149835802,0.706500875,0,0.560873286,0.530789146,0.110077401,0.083407839,0.091546045,0.074390614,0.187808899,0.181119743,0.050471381,0.096757486,0.008198568,0,0.038064702,0.009758072,0.327083286,0.236375475,0.092276805,0.187338885,0.041273929,0.188497106,0.328573567,0.197119016,0.402484798,0.346017412,0,4.31936784,0,0.259329599,0.137216164,0.248811072,0,0,0,0.219907644
BFJBJAKM_00913,0.197012137,1.238593584,0,0.428206201,0.177649817,4.176657697,0.054834547,0.096295715,0.313000842,0.117591047,0.357218907,0.1769666,0.05088877,0,0,0.18017823,0,0,0.189182081,0,0.35828829,0.624095479,0,2.976179957,0.207346111,0.211683427,0.093325585,0.097718996,3.549585104,0.046431875,0.487114923,4.330059881,0.981450367,0,0,0,0.157716189
BFJBJAKM_00914,0,0.288803772,0.47978279,0.332817177,0.236701359,0,0,0,0,0,0.138821657,0,0.15821029,0,0,0,0,0.125348686,0.126033498,0.113162872,0,0.189809738,0,0,0,0,0.163205961,0,3.586523876,0,0.567904715,0,0.108974048,0,0,0,0
BFJBJAKM_00915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231613074,0,0,0,0,0,0,2.019882952,0,0,0,0,0,0,0,0
BFJBJAKM_00916,0.200578917,0.126101754,0,0,0,0,0,0,0,0,0,0,0.025905039,0,0,0,0,0,0,0,0,0.124316282,0,0,0,0,0,0,4.517310117,0,0.148780149,0,0.356863894,0,0,0,0
BFJBJAKM_01089,0,0.034381401,0,0,0.06340215,0,0,0.040095254,0,0,0,0,1.11594758,0,0,0,0,0,0,0,0,0.045192795,0,0,0,0.070511971,0.038858562,0,4.778747472,0,0.32451698,0,0.194596514,0,0,0,0
BFJBJAKM_01091,0.15312488,0.770143393,0,0,0,0,0,0,0,0,0,0.206317158,26.46067097,0,0.589460145,0,0,0,0,0,0,1.265398257,0,0,0,0,0.108803974,0,4.000353554,0,0.227161886,0.280456453,0,0,0,0,0
BFJBJAKM_01092,0,0.140462096,0,0.161868378,0,0,0.093277272,0,0,0,0,0,1.601456915,0,0,0,0,0,0,0,0,0.369262125,0,0,0,0,0.079376565,0,3.622850562,0,0.331446168,0.204603462,0,0,0,0,0
BFJBJAKM_01093,0,0,0,0,0,0,0,0,0,0,0,0,1.052516772,0,0,0,0,0,0,0,0,0.62357366,0,0,0,0,0,0,1.767397583,0,0,0,0.429609227,0,0,0,0
BFJBJAKM_01094,0,0.126505926,0,0,0,0,0,0,0,0,0,0,1.481319901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.806702487,0,0,0,0.143203076,0,0,0,0
BFJBJAKM_01688,0.210204914,0.440511706,0,0.761467872,0.054156003,0,0,0,0,0.075279269,0.158808257,0.188817042,22.54209697,0.046007143,0.053946129,0.021360415,0,0.458865725,0.288357892,0,0,0.057903268,0,0,0.110615448,0.135515194,0.099575066,0,4.071326575,0,0.259867113,0.256667736,0.398922853,0,0,0,0
BFJBJAKM_01794,0.145326854,0.593875041,0,0.315868154,0.112323562,0,0,0,0,0.182157243,0.131752035,0,0.084461222,0,0,0,0,0.118965188,0.059807563,0,0.04955492,2.221769855,0.054847422,0.053114323,0.143390395,0.983739928,0.077447273,0.432497039,4.680330637,0,0.592882005,0.066543487,0.31027333,0,0,0,0
